txid,input_index,script_type,pubkey_hex,r,s,sighash_type,z,ecdsa_valid
0096870408a6fdbf6b8f649a91800e4af94d052b443f725741aca05e640905a2,1,P2SH,03c61fd255b8bc158118f58785d781958335d47fe87727d881bf87357176f3fadc,cf2a6c3fd42f08b5dd98821e5a3e10cd883a274a721e830690d194f72f8a5554,7a3f8b97292b62684ea7987b9641d675c6bd7eb5ebedc6c72241b57a2eaf4c5e,1,5c041e7e6baf2e476d6d837c810a707ba48bb9cc9c257f5ba18be0baef5526f8,true
0096870408a6fdbf6b8f649a91800e4af94d052b443f725741aca05e640905a2,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,0013d3ccdc2dcfad45b1ecd5db8c3b3654e3a8df8f028b78ba5f74eaeeef2afd,37f0dca764815ec5bea577a0dcf78679d66a4caf5e502a5d69e38d8b665a815a,1,5c041e7e6baf2e476d6d837c810a707ba48bb9cc9c257f5ba18be0baef5526f8,true
009b2164c20df957167232e9ac7e4967f0bb24b5a650c06ef15f4ff0ed24f907,0,P2SH,02e3c87ccb2b7e7a08506255fbbdc05f2ae1754a5101c7b4d9caf78c0240de3568,52b7bd15d2775b9f4f8c32d53031d33570a188907ad0ada539485e78c0d4d432,3d124af45662e6008941ac53a7c43252c3d52049fd693b0eb489e40d9508ede6,1,6674161151902ae4d834412cc855e014f81333fe610fade7dc8b2c73164a0c9a,true
009b2164c20df957167232e9ac7e4967f0bb24b5a650c06ef15f4ff0ed24f907,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,697420c5b4df026243768adb4c783bd9a6161b2fb8933ce17e5fa632fa353264,3c073400a43b0027a11b8e324333ce215ddaaada218ab63f2a425557fcd99586,1,6674161151902ae4d834412cc855e014f81333fe610fade7dc8b2c73164a0c9a,true
009b2164c20df957167232e9ac7e4967f0bb24b5a650c06ef15f4ff0ed24f907,1,P2SH,02e3c87ccb2b7e7a08506255fbbdc05f2ae1754a5101c7b4d9caf78c0240de3568,3b8d2576de6ea19ef3574b10275b7617a14cb24e4632e9f635c844b2647a6620,323c6132d8a4a370b716b568d15309d1ad28e73855b8e06220130385cc419978,1,cd01b585f29ad90d04a9cb7ffb328c6f574a2aa603683cdf9ed9634b13a6665d,true
009b2164c20df957167232e9ac7e4967f0bb24b5a650c06ef15f4ff0ed24f907,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,fb1b9f01c69a0cdb9eb25db83d165c35aedee127eb435d09497dacc3354dbbae,095b38f47a9ed00259f1fbed6b905f654b74a8db710fc6c9ad2290beb7bb7e5b,1,cd01b585f29ad90d04a9cb7ffb328c6f574a2aa603683cdf9ed9634b13a6665d,true
009e50af16a65f2196da9c86d9a2c8086d24cea6542654a3507b4bd9245cb180,0,P2SH,035f51c344301cdf1d2375946685a4d76d1c8f8a130c0b11efa00925e64cd355b0,d1837745e3ebc2221afd70789744be906bda23926a4495b4e35cd4d0f59d508f,710cdf1a4f2f8175f24d613f28205a40ff2473ee45935f4c46db24d7a0f3d235,1,a5e590ec7d992f8e8817edd6d5c130d6795cdc0f0ae389e73cf9107bc793db82,true
009e50af16a65f2196da9c86d9a2c8086d24cea6542654a3507b4bd9245cb180,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,3ccc3871efe33cfee191a1f84efb5714fe810fed94f8fe77c9c41bddb54951f7,3005cd89cafe249ccaa60a406f059507be27073b96b7483b55c0c2265e1463ac,1,a5e590ec7d992f8e8817edd6d5c130d6795cdc0f0ae389e73cf9107bc793db82,true
009e50af16a65f2196da9c86d9a2c8086d24cea6542654a3507b4bd9245cb180,1,P2SH,035f51c344301cdf1d2375946685a4d76d1c8f8a130c0b11efa00925e64cd355b0,8ec4b6622b171a66430fc906b6095ba8a73c24f4b8914facfebd5f10116ce517,555e72187e96baa8991da479775b704476fdf9d35101ed6aec924b5f88d39e1f,1,5c00bd0ced7c36efcda007ded7124e9a9ec41ff989c5490659ab73f48a2b638e,true
009e50af16a65f2196da9c86d9a2c8086d24cea6542654a3507b4bd9245cb180,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,1c03ff70ffc2c95d0baa94a951093c82eb9e19890d6b422861fc421fc9641e45,4f0f8f420995d7e4f5cf71991e665cc01037e57713f9b58174876cc97906dc95,1,5c00bd0ced7c36efcda007ded7124e9a9ec41ff989c5490659ab73f48a2b638e,true
00ba882e8cab4b444eb0d597c0b60764c7ee5cd5aaacb8ef70bac621ccb42e25,0,P2SH,035a4c705099b31851b5cae1838ca79a3f328e1caff7b4984d1c3838f65ecbeb42,f904b3ff5f86bbdcc4d8367e474c3858c9483da1692636c60df80999e718a571,69f879de0a53d6d10188b860e356bb10219ef98afa7a9926e31a75bad88423db,1,340d64da4e1a1f01f4d71f8dbec0829e036128726e34c56c8ce1bf8c4519dfcb,true
00ba882e8cab4b444eb0d597c0b60764c7ee5cd5aaacb8ef70bac621ccb42e25,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,e224711fb6c41c635328c926dfd467e3e6e111d6e12366b65d7b61a258770b99,056a56535a51c2d1f5f97c64757bc44a9d48cc3fbaa229d80c87b28cee5835de,1,340d64da4e1a1f01f4d71f8dbec0829e036128726e34c56c8ce1bf8c4519dfcb,true
00ba882e8cab4b444eb0d597c0b60764c7ee5cd5aaacb8ef70bac621ccb42e25,1,P2SH,035a4c705099b31851b5cae1838ca79a3f328e1caff7b4984d1c3838f65ecbeb42,9464b800918268b62ba78ad5dcd4c24ab15fd7a1917d4e8f672f77a82428fa82,64ecd68002903ba76cec9a421936280464deec4a8ae1b846e5673704485fea2d,1,4c3a415109bab54c2f57d3e4be1913984e0b50f193838eab808df8c3151d6a28,true
00ba882e8cab4b444eb0d597c0b60764c7ee5cd5aaacb8ef70bac621ccb42e25,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,7ce9bdd43f0bef2a847509a80dfd2bd6525220e638d7bb3e9de6c7958b159934,6c27b91bd7817f99fedd60756c2602256ceae68ded4a2ea248477cadc829a46c,1,4c3a415109bab54c2f57d3e4be1913984e0b50f193838eab808df8c3151d6a28,true
00c401a36eaa6ab2b9548796dfd0ac86aa553eb964cc471818c3d4bc50333b1f,0,P2SH,030235c91698cb4868a273faa9f101cbe5ed075908c5cdda698f8a45a2eaaa163b,00105a1eb84737b7f3daa25fcfffa118efd4b0d100292862cdaca6dc72af73fa,047a556a7cd670669343959e2867487fa48479d9223f16baa854a1a4749ddb48,1,d3b98d1db756e9d63717de54df4722aa25c59fb1b40e42fab30d5bdc5c598a1f,true
00c401a36eaa6ab2b9548796dfd0ac86aa553eb964cc471818c3d4bc50333b1f,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,ab26b1d4a3d2586433aca1595b32454875f63b4696e02ef2699e5f32399cd2f1,766a1fb0c6ad4efd6ec7bc2b362be3eede0d3f324e2eeb8dbbd08e97acfae4e3,1,d3b98d1db756e9d63717de54df4722aa25c59fb1b40e42fab30d5bdc5c598a1f,true
